"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"Keystone_3000_1x12mm-CoinCell";1;"Battery_Cell";;;
2;"Y1";"Crystal_SMD_HC49-SD";1;"16MHz";;;
3;"J15";"microSD_Card_Receptacle_Wuerth_693072010801";1;"Micro_SD_Card";;;
4;"U2";"SSOP-20";1;"LOGIC-TXS0108EPWR(TSSOP20)";;;
5;"U1";"TQFP-100_14x14mm_Pitch0.5mm";1;"ATMEGA2560-16AU";;;
6;"J13,J20";"JST_XH_B04B-XH-A_04x2.50mm_Straight";2;"Conn_01x04";;;
7;"C23,C16,C17";"C_0805";3;"22uF";;;
8;"Q6,Q2,Q4";"TO-252-2";3;"Q_NMOS_DGS";;;
9;"MH2,MH3,MH4,MH1";"MountingHole_2.2mm_M2_Pad";4;"MountingHole_2.2mm_M2_Pad";;;
10;"Q3,Q5,Q1";"SOT-23";3;"BC817";;;
11;"U6";"SAM-M8Q";1;"SAM-M8Q";;;
12;"AE1";"U.FL-R-SMT";1;"Antenna_Shield";;;
13;"C1,C2,C3,C6,C7,C8,C10,C12,C13,C14,C15,C25,C26,C27,C28,C29,C22,C32,C33";"C_0805";19;"100nF";;;
14;"C4,C5";"C_0805";2;"22pF";;;
15;"C18";"C_0805";1;"120pF 50V";;;
16;"C20";"C_0805";1;"6.8nF 50V";;;
17;"C24,C30,C31,C11";"C_0805";4;"10uF";;;
18;"D1,D2,D3";"LED_0805";3;"LED";;;
19;"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10";"Pin_Header_Straight_1x03_Pitch2.54mm";10;"Conn_01x03";;;
20;"J12";"Pin_Header_Straight_2x05_Pitch2.54mm";1;"Conn_02x05_Odd_Even";;;
21;"J16";"JST_XH_S03B-XH-A_03x2.50mm_Angled";1;"Conn_01x03";;;
22;"J17";"TerminalBlock_bornier-2_P5.08mm";1;"CHARGE_A";;;
23;"J18";"TerminalBlock_bornier-2_P5.08mm";1;"CHARGE_C";;;
24;"J19";"TerminalBlock_bornier-2_P5.08mm";1;"CHARGE_B";;;
25;"JP1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Jumper_NC_Dual";;;
26;"JP2";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Jumper_NO_Small";;;
27;"L1";"L_0805";1;"10uH";;;
28;"R1";"R_0805";1;"10K";;;
29;"R2";"R_0805";1;"2k7";;;
30;"R3";"R_0805";1;"4k7";;;
31;"R4,R7,R8,R12,R17,R20";"R_0805";6;"1k";;;
32;"R5,R13,R18,R22";"R_0805";4;"20k";;;
33;"R6,R14,R16,R19,R23,R24,R26,R27,R28,R36,R37";"R_0805";11;"10k";;;
34;"R9,R11,R38,R39,R40";"R_0805";5;"0";;;
35;"R10";"R_0805";1;"4.7K";;;
36;"R15,R21,R25";"R_0805";3;"250";;;
37;"R29,R30";"R_0805";2;"47K";;;
38;"U3";"Hopref_RFM9XW_SMD";1;"RFM95HW";;;
39;"U8";"MS5607";1;"MS5607";;;
40;"R31,R34";"R_0805";2;"10k2";;;
41;"R32";"R_0805";1;"453k";;;
42;"R33";"R_0805";1;"97.6k";;;
43;"R35";"R_0805";1;"1k96";;;
44;"C9";"C_0805";1;"0.1uF";;;
45;"C19";"C_0805";1;"4.7uF";;;
46;"C21";"C_0805";1;"8.2nF";;;
47;"D4";"D_SOD-323";1;"30V 1.5A 400mV Vf";;;
48;"D5";"D_SOD-123F";1;"0.55V 1A";;;
49;"L2";"L_Taiyo-Yuden_NR-60xx";1;"2.2uH";;;
50;"L3";"L_Taiyo-Yuden_NR-60xx";1;"15uH 0.096ohm";;;
51;"U4";"SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm";1;"TPS54332";;;
52;"U5";"SOT-23-5";1;"TLV62568";;;
53;"J11";"Socket_Strip_Straight_1x06_Pitch2.54mm";1;"Conn_01x06";;;
54;"J14";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"Conn_01x01";;;
55;"C34";"C_0805";1;"10nF 16V";;;
56;"U7";"LGA-24L_3x3.5mm_Pitch0.43mm";1;"LSM9DS1TRâ€Ž";;;
57;"G***";"Draco_Logo";1;"LOGO";;;
